성별,연령,직업,ott 주중 이용시간대,ott 주말 이용시간대,연도
여,50대,서비스/판매직,이용하지 않음,21:00~23:59,2020
여,30대,사무직,이용하지 않음,21:00~23:59,2020
여,30대,생산직,12:00~14:59,12:00~14:59,2020
여,50대,사무직,18:00~20:59,18:00~20:59,2020
여,30대,주부,15:00~17:59,15:00~17:59,2020
여,40대,사무직,21:00~23:59,21:00~23:59,2020
여,60세 이상,서비스/판매직,15:00~17:59,15:00~17:59,2020
여,60세 이상,서비스/판매직,12:00~14:59,12:00~14:59,2020
여,40대,주부,15:00~17:59,15:00~17:59,2020
여,50대,주부,9:00~11:59,이용하지 않음,2020
여,20대,사무직,15:00~17:59,15:00~17:59,2020
여,50대,서비스/판매직,이용하지 않음,12:00~14:59,2020
여,60세 이상,생산직,12:00~14:59,이용하지 않음,2020
여,50대,주부,21:00~23:59,21:00~23:59,2020
여,60세 이상,주부,21:00~23:59,21:00~23:59,2020
여,10대,학생,21:00~23:59,21:00~23:59,2020
여,20대,서비스/판매직,21:00~23:59,18:00~20:59,2020
여,30대,서비스/판매직,18:00~20:59,21:00~23:59,2020
여,30대,주부,9:00~11:59,이용하지 않음,2020
여,20대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,50대,서비스/판매직,9:00~11:59,이용하지 않음,2020
여,20대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,30대,사무직,21:00~23:59,21:00~23:59,2020
여,30대,서비스/판매직,18:00~20:59,이용하지 않음,2020
여,10대,학생,18:00~20:59,18:00~20:59,2020
여,30대,주부,18:00~20:59,이용하지 않음,2020
여,50대,주부,12:00~14:59,12:00~14:59,2020
여,40대,사무직,12:00~14:59,15:00~17:59,2020
여,50대,주부,12:00~14:59,12:00~14:59,2020
여,50대,주부,15:00~17:59,15:00~17:59,2020
여,30대,사무직,21:00~23:59,12:00~14:59,2020
여,50대,주부,12:00~14:59,12:00~14:59,2020
여,20대,서비스/판매직,18:00~20:59,18:00~20:59,2020
여,20대,무직,18:00~20:59,12:00~14:59,2020
여,50대,주부,12:00~14:59,12:00~14:59,2020
여,40대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,40대,생산직,12:00~14:59,12:00~14:59,2020
여,50대,생산직,15:00~17:59,15:00~17:59,2020
여,50대,생산직,15:00~17:59,18:00~20:59,2020
여,50대,주부,12:00~14:59,이용하지 않음,2020
여,60세 이상,생산직,이용하지 않음,12:00~14:59,2020
여,50대,사무직,12:00~14:59,15:00~17:59,2020
여,50대,주부,15:00~17:59,15:00~17:59,2020
여,40대,서비스/판매직,15:00~17:59,12:00~14:59,2020
여,40대,주부,15:00~17:59,9:00~11:59,2020
여,40대,사무직,6:00~8:59,21:00~23:59,2020
여,30대,사무직,6:00~8:59,15:00~17:59,2020
여,30대,사무직,21:00~23:59,21:00~23:59,2020
여,60세 이상,무직,12:00~14:59,15:00~17:59,2020
여,50대,생산직,12:00~14:59,21:00~23:59,2020
여,60세 이상,주부,15:00~17:59,15:00~17:59,2020
여,50대,주부,15:00~17:59,21:00~23:59,2020
여,60세 이상,주부,15:00~17:59,21:00~23:59,2020
여,30대,사무직,21:00~23:59,15:00~17:59,2020
여,50대,주부,15:00~17:59,15:00~17:59,2020
여,60세 이상,무직,15:00~17:59,21:00~23:59,2020
여,60세 이상,무직,12:00~14:59,15:00~17:59,2020
여,50대,주부,15:00~17:59,12:00~14:59,2020
여,60세 이상,서비스/판매직,18:00~20:59,18:00~20:59,2020
여,60세 이상,생산직,15:00~17:59,15:00~17:59,2020
여,30대,주부,21:00~23:59,21:00~23:59,2020
여,50대,생산직,12:00~14:59,15:00~17:59,2020
여,30대,생산직,15:00~17:59,21:00~23:59,2020
여,50대,주부,21:00~23:59,이용하지 않음,2020
여,10대,서비스/판매직,18:00~20:59,18:00~20:59,2020
여,40대,주부,15:00~17:59,15:00~17:59,2020
여,50대,서비스/판매직,21:00~23:59,15:00~17:59,2020
여,40대,서비스/판매직,15:00~17:59,이용하지 않음,2020
여,40대,사무직,21:00~23:59,이용하지 않음,2020
여,40대,주부,15:00~17:59,18:00~20:59,2020
여,20대,학생,18:00~20:59,이용하지 않음,2020
여,40대,주부,18:00~20:59,15:00~17:59,2020
여,40대,서비스/판매직,15:00~17:59,이용하지 않음,2020
여,50대,서비스/판매직,24:00~5:59,21:00~23:59,2020
여,50대,주부,15:00~17:59,이용하지 않음,2020
여,40대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,50대,주부,이용하지 않음,15:00~17:59,2020
여,10대,학생,24:00~5:59,24:00~5:59,2020
여,50대,주부,9:00~11:59,21:00~23:59,2020
여,40대,주부,15:00~17:59,15:00~17:59,2020
여,40대,주부,12:00~14:59,15:00~17:59,2020
여,30대,주부,12:00~14:59,12:00~14:59,2020
여,60세 이상,주부,15:00~17:59,이용하지 않음,2020
여,40대,주부,15:00~17:59,15:00~17:59,2020
여,60세 이상,주부,12:00~14:59,12:00~14:59,2020
여,30대,주부,9:00~11:59,9:00~11:59,2020
여,60세 이상,생산직,12:00~14:59,이용하지 않음,2020
여,30대,사무직,21:00~23:59,12:00~14:59,2020
여,50대,서비스/판매직,9:00~11:59,9:00~11:59,2020
여,60세 이상,주부,9:00~11:59,이용하지 않음,2020
여,40대,주부,12:00~14:59,이용하지 않음,2020
여,40대,주부,9:00~11:59,이용하지 않음,2020
여,60세 이상,주부,12:00~14:59,이용하지 않음,2020
여,30대,주부,15:00~17:59,15:00~17:59,2020
여,40대,주부,21:00~23:59,21:00~23:59,2020
여,60세 이상,주부,18:00~20:59,이용하지 않음,2020
여,60세 이상,주부,15:00~17:59,15:00~17:59,2020
여,20대,사무직,21:00~23:59,21:00~23:59,2020
여,50대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,60세 이상,주부,15:00~17:59,15:00~17:59,2020
여,40대,사무직,18:00~20:59,이용하지 않음,2020
여,40대,주부,21:00~23:59,이용하지 않음,2020
여,60세 이상,주부,15:00~17:59,이용하지 않음,2020
여,30대,사무직,21:00~23:59,15:00~17:59,2020
여,30대,주부,12:00~14:59,이용하지 않음,2020
여,30대,사무직,이용하지 않음,21:00~23:59,2020
여,10대,학생,24:00~5:59,18:00~20:59,2020
여,20대,학생,21:00~23:59,15:00~17:59,2020
여,30대,주부,12:00~14:59,15:00~17:59,2020
여,50대,주부,15:00~17:59,이용하지 않음,2020
여,40대,사무직,12:00~14:59,15:00~17:59,2020
여,20대,서비스/판매직,9:00~11:59,21:00~23:59,2020
여,30대,사무직,12:00~14:59,21:00~23:59,2020
여,60세 이상,주부,9:00~11:59,15:00~17:59,2020
여,60세 이상,주부,21:00~23:59,21:00~23:59,2020
여,20대,사무직,21:00~23:59,21:00~23:59,2020
여,40대,서비스/판매직,9:00~11:59,18:00~20:59,2020
여,50대,주부,21:00~23:59,21:00~23:59,2020
여,50대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,60세 이상,서비스/판매직,18:00~20:59,18:00~20:59,2020
여,40대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,50대,무직,21:00~23:59,21:00~23:59,2020
여,40대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,50대,주부,12:00~14:59,이용하지 않음,2020
여,60세 이상,주부,15:00~17:59,12:00~14:59,2020
여,60세 이상,주부,15:00~17:59,15:00~17:59,2020
여,20대,사무직,21:00~23:59,21:00~23:59,2020
여,50대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,50대,주부,15:00~17:59,이용하지 않음,2020
여,40대,생산직,21:00~23:59,이용하지 않음,2020
여,20대,무직,21:00~23:59,21:00~23:59,2020
여,50대,주부,21:00~23:59,21:00~23:59,2020
여,60세 이상,무직,15:00~17:59,이용하지 않음,2020
여,60세 이상,무직,15:00~17:59,이용하지 않음,2020
여,30대,사무직,21:00~23:59,15:00~17:59,2020
여,30대,주부,12:00~14:59,15:00~17:59,2020
여,30대,주부,12:00~14:59,15:00~17:59,2020
여,60세 이상,무직,18:00~20:59,18:00~20:59,2020
여,60세 이상,무직,9:00~11:59,15:00~17:59,2020
여,60세 이상,주부,21:00~23:59,21:00~23:59,2020
여,20대,주부,24:00~5:59,24:00~5:59,2020
여,10대,학생,15:00~17:59,15:00~17:59,2020
여,40대,생산직,12:00~14:59,15:00~17:59,2020
여,10대,학생,21:00~23:59,12:00~14:59,2020
여,40대,서비스/판매직,21:00~23:59,15:00~17:59,2020
여,10대,학생,21:00~23:59,21:00~23:59,2020
여,50대,주부,9:00~11:59,9:00~11:59,2020
여,60세 이상,주부,12:00~14:59,12:00~14:59,2020
여,40대,주부,12:00~14:59,15:00~17:59,2020
여,50대,서비스/판매직,6:00~8:59,이용하지 않음,2020
여,20대,사무직,21:00~23:59,18:00~20:59,2020
여,50대,생산직,9:00~11:59,이용하지 않음,2020
여,50대,주부,15:00~17:59,15:00~17:59,2020
여,50대,무직,15:00~17:59,12:00~14:59,2020
여,60세 이상,서비스/판매직,12:00~14:59,12:00~14:59,2020
여,30대,사무직,18:00~20:59,18:00~20:59,2020
여,30대,주부,18:00~20:59,21:00~23:59,2020
여,60세 이상,생산직,12:00~14:59,15:00~17:59,2020
여,40대,사무직,18:00~20:59,이용하지 않음,2020
여,30대,사무직,18:00~20:59,18:00~20:59,2020
여,60세 이상,주부,12:00~14:59,12:00~14:59,2020
여,30대,무직,21:00~23:59,18:00~20:59,2020
여,20대,무직,21:00~23:59,21:00~23:59,2020
여,20대,사무직,18:00~20:59,12:00~14:59,2020
여,20대,사무직,이용하지 않음,15:00~17:59,2020
여,30대,사무직,6:00~8:59,6:00~8:59,2020
여,20대,주부,21:00~23:59,21:00~23:59,2020
여,50대,서비스/판매직,15:00~17:59,이용하지 않음,2020
여,30대,사무직,이용하지 않음,12:00~14:59,2020
여,10대,학생,21:00~23:59,15:00~17:59,2020
여,10대,학생,21:00~23:59,15:00~17:59,2020
여,40대,서비스/판매직,18:00~20:59,이용하지 않음,2020
여,40대,서비스/판매직,18:00~20:59,12:00~14:59,2020
여,40대,주부,15:00~17:59,15:00~17:59,2020
여,10대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,50대,서비스/판매직,21:00~23:59,9:00~11:59,2020
여,60세 이상,주부,15:00~17:59,15:00~17:59,2020
여,60세 이상,주부,12:00~14:59,12:00~14:59,2020
여,60세 이상,주부,12:00~14:59,이용하지 않음,2020
여,50대,주부,15:00~17:59,이용하지 않음,2020
여,40대,사무직,15:00~17:59,이용하지 않음,2020
여,40대,사무직,12:00~14:59,12:00~14:59,2020
여,50대,사무직,12:00~14:59,12:00~14:59,2020
여,60세 이상,사무직,21:00~23:59,21:00~23:59,2020
여,60세 이상,주부,12:00~14:59,이용하지 않음,2020
여,60세 이상,생산직,18:00~20:59,18:00~20:59,2020
여,10대,무직,12:00~14:59,12:00~14:59,2020
여,40대,주부,15:00~17:59,15:00~17:59,2020
여,60세 이상,주부,18:00~20:59,이용하지 않음,2020
여,60세 이상,주부,12:00~14:59,12:00~14:59,2020
여,20대,서비스/판매직,이용하지 않음,21:00~23:59,2020
여,30대,서비스/판매직,6:00~8:59,9:00~11:59,2020
여,50대,서비스/판매직,이용하지 않음,12:00~14:59,2020
여,40대,서비스/판매직,9:00~11:59,9:00~11:59,2020
여,30대,사무직,12:00~14:59,이용하지 않음,2020
여,30대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,60세 이상,주부,15:00~17:59,15:00~17:59,2020
여,60세 이상,주부,15:00~17:59,15:00~17:59,2020
여,60세 이상,주부,15:00~17:59,이용하지 않음,2020
여,30대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,60세 이상,주부,12:00~14:59,이용하지 않음,2020
여,10대,학생,15:00~17:59,12:00~14:59,2020
여,40대,주부,15:00~17:59,18:00~20:59,2020
여,30대,주부,15:00~17:59,이용하지 않음,2020
여,30대,사무직,12:00~14:59,12:00~14:59,2020
여,60세 이상,주부,12:00~14:59,12:00~14:59,2020
여,60세 이상,주부,15:00~17:59,15:00~17:59,2020
여,60세 이상,주부,12:00~14:59,12:00~14:59,2020
여,50대,생산직,18:00~20:59,18:00~20:59,2020
여,20대,사무직,21:00~23:59,12:00~14:59,2020
여,20대,사무직,21:00~23:59,15:00~17:59,2020
여,20대,사무직,21:00~23:59,15:00~17:59,2020
여,50대,주부,15:00~17:59,이용하지 않음,2020
여,30대,사무직,21:00~23:59,21:00~23:59,2020
여,50대,사무직,21:00~23:59,이용하지 않음,2020
여,30대,주부,15:00~17:59,12:00~14:59,2020
여,50대,주부,12:00~14:59,이용하지 않음,2020
여,30대,사무직,21:00~23:59,21:00~23:59,2020
여,40대,생산직,21:00~23:59,21:00~23:59,2020
여,40대,사무직,18:00~20:59,18:00~20:59,2020
여,60세 이상,주부,12:00~14:59,12:00~14:59,2020
여,40대,주부,21:00~23:59,이용하지 않음,2020
여,20대,학생,21:00~23:59,이용하지 않음,2020
여,50대,생산직,15:00~17:59,15:00~17:59,2020
여,40대,주부,12:00~14:59,이용하지 않음,2020
여,60세 이상,서비스/판매직,12:00~14:59,이용하지 않음,2020
여,50대,주부,15:00~17:59,이용하지 않음,2020
여,60세 이상,주부,12:00~14:59,이용하지 않음,2020
여,50대,서비스/판매직,18:00~20:59,21:00~23:59,2020
여,30대,서비스/판매직,15:00~17:59,이용하지 않음,2020
여,60세 이상,주부,18:00~20:59,18:00~20:59,2020
여,60세 이상,서비스/판매직,15:00~17:59,12:00~14:59,2020
여,60세 이상,서비스/판매직,18:00~20:59,이용하지 않음,2020
여,20대,사무직,21:00~23:59,21:00~23:59,2020
여,60세 이상,주부,12:00~14:59,12:00~14:59,2020
여,50대,서비스/판매직,21:00~23:59,이용하지 않음,2020
여,30대,주부,이용하지 않음,24:00~5:59,2020
여,50대,서비스/판매직,18:00~20:59,18:00~20:59,2020
여,20대,사무직,21:00~23:59,12:00~14:59,2020
여,20대,사무직,15:00~17:59,15:00~17:59,2020
여,20대,사무직,21:00~23:59,15:00~17:59,2020
여,60세 이상,주부,12:00~14:59,12:00~14:59,2020
여,40대,주부,15:00~17:59,15:00~17:59,2020
여,40대,주부,15:00~17:59,15:00~17:59,2020
여,50대,생산직,15:00~17:59,15:00~17:59,2020
여,50대,서비스/판매직,21:00~23:59,이용하지 않음,2020
여,40대,주부,15:00~17:59,이용하지 않음,2020
여,40대,주부,15:00~17:59,이용하지 않음,2020
여,20대,학생,12:00~14:59,이용하지 않음,2020
여,40대,생산직,15:00~17:59,이용하지 않음,2020
여,20대,무직,15:00~17:59,18:00~20:59,2020
여,50대,서비스/판매직,18:00~20:59,이용하지 않음,2020
여,30대,사무직,21:00~23:59,18:00~20:59,2020
여,30대,주부,15:00~17:59,이용하지 않음,2020
여,60세 이상,주부,21:00~23:59,18:00~20:59,2020
여,60세 이상,서비스/판매직,9:00~11:59,15:00~17:59,2020
여,50대,주부,15:00~17:59,이용하지 않음,2020
여,40대,서비스/판매직,15:00~17:59,15:00~17:59,2020
여,60세 이상,서비스/판매직,18:00~20:59,18:00~20:59,2020
여,20대,서비스/판매직,18:00~20:59,18:00~20:59,2020
여,20대,서비스/판매직,18:00~20:59,18:00~20:59,2020
여,40대,주부,15:00~17:59,15:00~17:59,2020
여,60세 이상,주부,12:00~14:59,이용하지 않음,2020
여,50대,주부,18:00~20:59,이용하지 않음,2020
여,50대,서비스/판매직,12:00~14:59,21:00~23:59,2020
여,60세 이상,기타,9:00~11:59,9:00~11:59,2020
여,40대,사무직,21:00~23:59,21:00~23:59,2020
여,60세 이상,기타,12:00~14:59,12:00~14:59,2020
여,40대,주부,12:00~14:59,12:00~14:59,2020
여,50대,서비스/판매직,21:00~23:59,9:00~11:59,2020
여,30대,사무직,21:00~23:59,21:00~23:59,2020
여,20대,사무직,21:00~23:59,21:00~23:59,2020
여,40대,주부,12:00~14:59,이용하지 않음,2020
여,60세 이상,주부,12:00~14:59,12:00~14:59,2020
여,30대,사무직,12:00~14:59,12:00~14:59,2020
여,40대,사무직,21:00~23:59,이용하지 않음,2020
여,60세 이상,주부,15:00~17:59,12:00~14:59,2020
여,60세 이상,서비스/판매직,12:00~14:59,15:00~17:59,2020
여,20대,주부,9:00~11:59,15:00~17:59,2020
여,10대,학생,18:00~20:59,15:00~17:59,2020
여,20대,사무직,18:00~20:59,15:00~17:59,2020
여,20대,사무직,24:00~5:59,24:00~5:59,2020
여,30대,사무직,18:00~20:59,12:00~14:59,2020
여,30대,생산직,6:00~8:59,9:00~11:59,2020
여,50대,주부,18:00~20:59,이용하지 않음,2020
여,50대,주부,21:00~23:59,이용하지 않음,2020
여,40대,주부,15:00~17:59,이용하지 않음,2020
여,50대,주부,12:00~14:59,이용하지 않음,2020
여,60세 이상,서비스/판매직,15:00~17:59,15:00~17:59,2020
여,50대,서비스/판매직,21:00~23:59,이용하지 않음,2020
여,50대,서비스/판매직,18:00~20:59,이용하지 않음,2020
여,30대,주부,15:00~17:59,이용하지 않음,2020
여,20대,서비스/판매직,21:00~23:59,12:00~14:59,2020
여,30대,서비스/판매직,12:00~14:59,12:00~14:59,2020
여,50대,주부,18:00~20:59,이용하지 않음,2020
여,30대,주부,12:00~14:59,이용하지 않음,2020
여,50대,사무직,21:00~23:59,이용하지 않음,2020
여,50대,주부,15:00~17:59,12:00~14:59,2020
여,20대,사무직,18:00~20:59,18:00~20:59,2020
여,50대,사무직,12:00~14:59,이용하지 않음,2020
여,20대,사무직,21:00~23:59,21:00~23:59,2020
여,20대,주부,15:00~17:59,15:00~17:59,2020
여,20대,사무직,21:00~23:59,21:00~23:59,2020
여,50대,서비스/판매직,이용하지 않음,15:00~17:59,2020
여,60세 이상,주부,15:00~17:59,15:00~17:59,2020
여,60세 이상,무직,이용하지 않음,15:00~17:59,2020
여,30대,서비스/판매직,12:00~14:59,15:00~17:59,2020
여,30대,서비스/판매직,21:00~23:59,12:00~14:59,2020
여,50대,생산직,12:00~14:59,15:00~17:59,2020
여,40대,주부,15:00~17:59,15:00~17:59,2020
여,10대,학생,24:00~5:59,24:00~5:59,2020
여,40대,주부,12:00~14:59,12:00~14:59,2020
여,50대,사무직,24:00~5:59,24:00~5:59,2020
여,50대,주부,15:00~17:59,15:00~17:59,2020
여,30대,주부,15:00~17:59,24:00~5:59,2020
여,30대,주부,21:00~23:59,21:00~23:59,2020
여,30대,사무직,24:00~5:59,24:00~5:59,2020
여,60세 이상,주부,15:00~17:59,15:00~17:59,2020
여,30대,사무직,21:00~23:59,21:00~23:59,2020
여,40대,서비스/판매직,24:00~5:59,24:00~5:59,2020
여,30대,사무직,21:00~23:59,21:00~23:59,2020
여,30대,주부,9:00~11:59,이용하지 않음,2020
여,30대,주부,9:00~11:59,이용하지 않음,2020
여,20대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,50대,주부,9:00~11:59,18:00~20:59,2020
여,20대,주부,9:00~11:59,9:00~11:59,2020
여,30대,주부,12:00~14:59,9:00~11:59,2020
여,40대,주부,9:00~11:59,15:00~17:59,2020
여,10대,학생,21:00~23:59,24:00~5:59,2020
여,40대,사무직,18:00~20:59,이용하지 않음,2020
여,40대,사무직,12:00~14:59,12:00~14:59,2020
여,40대,주부,15:00~17:59,이용하지 않음,2020
여,10대,학생,21:00~23:59,9:00~11:59,2020
여,30대,서비스/판매직,15:00~17:59,18:00~20:59,2020
여,20대,학생,21:00~23:59,9:00~11:59,2020
여,20대,학생,21:00~23:59,15:00~17:59,2020
여,50대,서비스/판매직,12:00~14:59,이용하지 않음,2020
여,50대,주부,15:00~17:59,이용하지 않음,2020
여,40대,사무직,12:00~14:59,이용하지 않음,2020
여,60세 이상,무직,9:00~11:59,9:00~11:59,2020
여,30대,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,40대,사무직,12:00~14:59,이용하지 않음,2020
여,60세 이상,서비스/판매직,12:00~14:59,이용하지 않음,2020
여,60세 이상,주부,12:00~14:59,이용하지 않음,2020
여,20대,사무직,18:00~20:59,15:00~17:59,2020
여,40대,주부,12:00~14:59,15:00~17:59,2020
여,50대,주부,12:00~14:59,18:00~20:59,2020
여,40대,주부,12:00~14:59,18:00~20:59,2020
여,30대,사무직,15:00~17:59,18:00~20:59,2020
여,60세 이상,서비스/판매직,21:00~23:59,21:00~23:59,2020
여,30대,사무직,12:00~14:59,12:00~14:59,2020
여,30대,주부,12:00~14:59,12:00~14:59,2020
여,30대,주부,15:00~17:59,15:00~17:59,2020
여,40대,주부,12:00~14:59,12:00~14:59,2020
여,60세 이상,서비스/판매직,15:00~17:59,15:00~17:59,2020
여,50대,주부,12:00~14:59,12:00~14:59,2020
여,40대,주부,15:00~17:59,15:00~17:59,2020
여,60세 이상,주부,15:00~17:59,15:00~17:59,2020
여,60세 이상,주부,21:00~23:59,21:00~23:59,2020
여,30대,주부,12:00~14:59,12:00~14:59,2020
여,30대,주부,15:00~17:59,12:00~14:59,2020
여,20대,주부,12:00~14:59,12:00~14:59,2020
여,30대,서비스/판매직,12:00~14:59,18:00~20:59,2020
여,20대,사무직,21:00~23:59,21:00~23:59,2020
여,50대,서비스/판매직,15:00~17:59,15:00~17:59,2020
여,30대,주부,12:00~14:59,12:00~14:59,2020
여,40대,사무직,12:00~14:59,이용하지 않음,2020
여,40대,주부,15:00~17:59,이용하지 않음,2020
여,60세 이상,주부,15:00~17:59,이용하지 않음,2020
